Before TP,After TP,Across TP
0.5,0.0,0.75
1.0,0.5,0.62
0.67,0.33,0.25
0.0,0.23,0.22
0.7,0.48,0.54
0.67,0.67,0.75
0.8,1.0,0.58
0.67,0.32,0.21
0.73,0.33,0.29
0.47,0.17,0.25
0.57,0.0,0.36
0.46,1.0,0.46
0.5,0.13,0.38
0.5,0.27,0.04
1.0,0.0,0.3
1.0,0.0,0.25
0.17,0.14,0.11
0.0,0.21,0.24
0.0,0.2,0.05
0.0,0.14,0.05
0.5,0.33,0.3
0.11,0.0,0.28
1.0,0.44,0.1
1.0,0.41,0.08
1.0,1.0,0.33
1.0,0.42,0.09
1.0,0.44,0.09
1.0,0.39,0.11
1.0,0.47,0.1
1.0,0.44,0.1
1.0,0.6,0.47
1.0,1.0,0.33
1.0,1.0,0.25
0.67,0.6,0.55
0.0,1.0,0.5
0.0,0.45,0.42
1.0,0.33,0.5
1.0,0.44,0.42
0.29,1.0,0.43
0.48,0.67,0.52
0.58,1.0,0.39
1.0,0.71,0.43
