Connectivity,Regions,Type
NaN,before tp,actual
1,before tp,actual
1,before tp,actual
NaN,before tp,actual
1,before tp,actual
NaN,before tp,actual
1,before tp,actual
NaN,before tp,actual
0,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
0.5,before tp,actual
1,before tp,actual
NaN,before tp,actual
1,before tp,actual
0.166666667,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
0,before tp,actual
0,before tp,actual
0,before tp,actual
0,before tp,actual
1,before tp,actual
0.111111111,before tp,actual
0.155555556,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
1,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
NaN,before tp,actual
0,before tp,actual
0,before tp,actual
1,before tp,actual
1,before tp,actual
0.476190476,before tp,actual
NaN,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,before tp,actual
1,after tp,actual
0,after tp,actual
0.5,after tp,actual
1,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
0.333333333,after tp,actual
1,after tp,actual
0.904761905,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
0.5,after tp,actual
NaN,after tp,actual
0.166666667,after tp,actual
0,after tp,actual
1,after tp,actual
0.133333333,after tp,actual
0.4,after tp,actual
0,after tp,actual
NaN,after tp,actual
0,after tp,actual
0.142857143,after tp,actual
1,after tp,actual
0.333333333,after tp,actual
0,after tp,actual
0.736263736,after tp,actual
0.244444444,after tp,actual
0.252380952,after tp,actual
NaN,after tp,actual
0.714285714,after tp,actual
0,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
NaN,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
0.6,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
NaN,after tp,actual
1,after tp,actual
1,after tp,actual
0.333333333,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
1,after tp,actual
NaN,after tp,actual
0.504838172,before tp,permuted
0.5196,before tp,permuted
0.403350084,before tp,permuted
NaN,before tp,permuted
0.391566265,before tp,permuted
0.329386437,before tp,permuted
0.502433333,before tp,permuted
0.329399142,before tp,permuted
0.253166667,before tp,permuted
0.95031746,before tp,permuted
0.96268254,before tp,permuted
0.952110317,before tp,permuted
0.470466667,before tp,permuted
0.940263492,before tp,permuted
0.696476965,before tp,permuted
0.820569758,before tp,permuted
0.974155705,before tp,permuted
0.980511921,before tp,permuted
0.345466667,before tp,permuted
0.283639683,before tp,permuted
0.191909061,before tp,permuted
0.166491043,before tp,permuted
0.175475687,before tp,permuted
0.2309,before tp,permuted
0.19978746,before tp,permuted
NaN,before tp,permuted
NaN,before tp,permuted
0.219886553,before tp,permuted
0.110333333,before tp,permuted
0.113333333,before tp,permuted
0.102,before tp,permuted
0.94209324,before tp,permuted
0.11999228,before tp,permuted
0.136362771,before tp,permuted
0.307847082,before tp,permuted
0.336351442,before tp,permuted
0.30250272,before tp,permuted
0.314257028,before tp,permuted
0.336351442,before tp,permuted
0.327962403,before tp,permuted
0.31884058,before tp,permuted
0.311935807,before tp,permuted
0.368368368,before tp,permuted
0.352352352,before tp,permuted
0.372333333,before tp,permuted
0.321596244,before tp,permuted
0.472432432,before tp,permuted
