Value,Region,Type
1,before_TP,Actual
0.866666666666667,after_TP,Actual
0.933333333333333,across_TP,Actual
0.552188552188552,before_TP,Permuted
0.87847554406378,after_TP,Permuted
0.93923777203189,across_TP,Permuted
0.5,before_TP,Actual
0.523809523809524,after_TP,Actual
1,across_TP,Actual
0.518666666666667,before_TP,Permuted
0.558285714285714,after_TP,Permuted
0.979,across_TP,Permuted
0.333333333333333,before_TP,Actual
0,after_TP,Actual
0.666666666666667,across_TP,Actual
0.353535353535354,before_TP,Permuted
0.547333333333333,after_TP,Permuted
0.9165,across_TP,Permuted
NaN,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
NaN,before_TP,Permuted
0.65147619047619,after_TP,Permuted
0.762178571428572,across_TP,Permuted
0.333333333333333,before_TP,Actual
NaN,after_TP,Actual
1,across_TP,Actual
0.336734693877551,before_TP,Permuted
NaN,after_TP,Permuted
0.747126436781609,across_TP,Permuted
1,before_TP,Actual
NaN,after_TP,Actual
1,across_TP,Actual
0.333333333333333,before_TP,Permuted
NaN,after_TP,Permuted
0.63953488372093,across_TP,Permuted
0.4,before_TP,Actual
0.523809523809524,after_TP,Actual
1,across_TP,Actual
0.463,before_TP,Permuted
0.657714285714286,after_TP,Permuted
0.98325,across_TP,Permuted
0,before_TP,Actual
0.333333333333333,after_TP,Actual
0.5,across_TP,Actual
0.419354838709677,before_TP,Permuted
0.488095238095238,after_TP,Permuted
0.671666666666667,across_TP,Permuted
0,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.231666666666667,before_TP,Permuted
0.887583262776021,after_TP,Permuted
0.960293695371498,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.940777777777778,before_TP,Permuted
0.809571428571429,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
0,after_TP,Actual
1,across_TP,Actual
0.971301587301587,before_TP,Permuted
0.614528668610301,after_TP,Permuted
0.9955,across_TP,Permuted
1,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.961976190476191,before_TP,Permuted
0.636475208640157,after_TP,Permuted
0.996666666666667,across_TP,Permuted
0.5,before_TP,Actual
1,after_TP,Actual
1,across_TP,Actual
0.512666666666667,before_TP,Permuted
0.928940725940726,after_TP,Permuted
1,across_TP,Permuted
0.75,before_TP,Actual
0.333333333333333,after_TP,Actual
1,across_TP,Actual
0.950460317460317,before_TP,Permuted
0.422619047619048,after_TP,Permuted
0.946886446886447,across_TP,Permuted
0.333333333333333,before_TP,Actual
0.5,after_TP,Actual
1,across_TP,Actual
0.67,before_TP,Permuted
0.575945017182131,after_TP,Permuted
0.920666666666667,across_TP,Permuted
0.75,before_TP,Actual
0.666666666666667,after_TP,Actual
0.833333333333333,across_TP,Actual
0.80583189033189,before_TP,Permuted
0.466,after_TP,Permuted
0.911738095238095,across_TP,Permuted
1,before_TP,Actual
NaN,after_TP,Actual
1,across_TP,Actual
0.966885780885781,before_TP,Permuted
0.33641975308642,after_TP,Permuted
0.996168582375479,across_TP,Permuted
1,before_TP,Actual
NaN,after_TP,Actual
NaN,across_TP,Actual
0.976421134421134,before_TP,Permuted
0.385310734463277,after_TP,Permuted
1,across_TP,Permuted
1,before_TP,Actual
0.285714285714286,after_TP,Actual
0.857142857142857,across_TP,Actual
0.350333333333333,before_TP,Permuted
0.512761904761905,after_TP,Permuted
0.898785714285714,across_TP,Permuted
0.142857142857143,before_TP,Actual
0.133333333333333,after_TP,Actual
0.666666666666667,across_TP,Actual
0.271452380952381,before_TP,Permuted
0.201412698412698,after_TP,Permuted
0.847674603174603,across_TP,Permuted
0,before_TP,Actual
0.571428571428571,after_TP,Actual
1,across_TP,Actual
0.196666666666667,before_TP,Permuted
0.319349927849928,after_TP,Permuted
0.679660533910534,across_TP,Permuted
1,before_TP,Actual
NaN,after_TP,Actual
NaN,across_TP,Actual
0.208333333333333,before_TP,Permuted
NaN,after_TP,Permuted
0.277777777777778,across_TP,Permuted
0,before_TP,Actual
0.0357142857142857,after_TP,Actual
0.625,across_TP,Actual
0.157894736842105,before_TP,Permuted
0.265452380952381,after_TP,Permuted
0.49818253968254,across_TP,Permuted
0,before_TP,Actual
0.392857142857143,after_TP,Actual
0.875,across_TP,Actual
0.219333333333333,before_TP,Permuted
0.331833444333444,after_TP,Permuted
0.85170720945721,across_TP,Permuted
0,before_TP,Actual
0.742857142857143,after_TP,Actual
0.933333333333333,across_TP,Actual
