Value,Regions,Type
1,CDN,Actual
-1,CDN,Actual
0,CDN,Actual
0.4,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
0,CDN,Actual
0.333333333,CDN,Actual
0.380952381,CDN,Actual
0,CDN,Actual
0,CDN,Actual
0,CDN,Actual
0.642857143,CDN,Actual
0,CDN,Actual
NaN,CDN,Actual
-0.25,CDN,Actual
-1,CDN,Actual
0,CDN,Actual
-0.166666667,CDN,Actual
0.5,CDN,Actual
-0.4,CDN,Actual
NaN,CDN,Actual
-0.25,CDN,Actual
0.142857143,CDN,Actual
1,CDN,Actual
0.666666667,CDN,Actual
0,CDN,Actual
0.428571429,CDN,Actual
0.6,CDN,Actual
0.80952381,CDN,Actual
NaN,CDN,Actual
0,CDN,Actual
-1,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
0.8,CDN,Actual
0.833333333,CDN,Actual
0.333333333,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
0.818181818,CDN,Actual
0.818181818,CDN,Actual
0.777777778,CDN,Actual
0.8,CDN,Actual
0.8,CDN,Actual
NaN,CDN,Actual
0.2,CDN,Actual
0.333333333,CDN,Actual
0.5,CDN,Actual
0,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
NaN,CDN,Actual
0,CDN,Actual
0.153846154,CDN,Actual
0,CDN,Actual
0.461538462,CDN,Actual
0,CDN,Actual
0.666666667,CDN,Actual
0,CDN,Actual
0,CDN,Actual
0.285714286,CDN,Actual
NaN,CDN,Actual
0.670764706,CDN,Permuted
-0.2765,CDN,Permuted
0.04975,CDN,Permuted
0.2358,CDN,Permuted
NaN,CDN,Permuted
NaN,CDN,Permuted
-0.168666667,CDN,Permuted
0.067666667,CDN,Permuted
0.548142857,CDN,Permuted
0.021285714,CDN,Permuted
-0.0855,CDN,Permuted
-0.3965,CDN,Permuted
0.422214286,CDN,Permuted
-0.23875,CDN,Permuted
NaN,CDN,Permuted
-0.394,CDN,Permuted
-0.448,CDN,Permuted
-0.412,CDN,Permuted
0.052666667,CDN,Permuted
0.048,CDN,Permuted
0.1378,CDN,Permuted
NaN,CDN,Permuted
0.0635,CDN,Permuted
0.113,CDN,Permuted
0.65925,CDN,Permuted
0.104,CDN,Permuted
0.100666667,CDN,Permuted
0.421571429,CDN,Permuted
0.3974,CDN,Permuted
0.622666667,CDN,Permuted
NaN,CDN,Permuted
-0.115857143,CDN,Permuted
-0.528,CDN,Permuted
NaN,CDN,Permuted
NaN,CDN,Permuted
NaN,CDN,Permuted
0.3925,CDN,Permuted
0.46725,CDN,Permuted
-0.005,CDN,Permuted
NaN,CDN,Permuted
NaN,CDN,Permuted
0.434909091,CDN,Permuted
0.429454545,CDN,Permuted
0.355666667,CDN,Permuted
0.4067,CDN,Permuted
0.395,CDN,Permuted
