before_tp,after_tp,frequency,white_matter_connection,grey_matter_connection
postcentral,superiorfrontal,4,FALSE,FALSE
precentral,superiorfrontal,3,FALSE,FALSE
inferiortemporal,bankssts,2,TRUE,FALSE
middletemporal,bankssts,2,TRUE,FALSE
superiortemporal,bankssts,2,TRUE,TRUE
Hippocampus,bankssts,2,FALSE,FALSE
superiortemporal,middletemporal,2,TRUE,TRUE
Amygdala,middletemporal,2,FALSE,FALSE
Hippocampus,middletemporal,2,FALSE,FALSE
Putamen,middletemporal,2,TRUE,FALSE
caudalmiddlefrontal,postcentral,2,FALSE,FALSE
paracentral,postcentral,2,TRUE,TRUE
precentral,postcentral,2,TRUE,TRUE
precentral,postcentral,2,TRUE,FALSE
supramarginal,postcentral,2,FALSE,FALSE
paracentral,postcentral,2,FALSE,FALSE
postcentral,postcentral,2,TRUE,TRUE
precentral,postcentral,2,TRUE,TRUE
superiorfrontal,postcentral,2,FALSE,FALSE
postcentral,postcentral,2,FALSE,FALSE
postcentral,postcentral,2,TRUE,TRUE
paracentral,precentral,2,TRUE,TRUE
precentral,precentral,2,TRUE,TRUE
superiorfrontal,precentral,2,TRUE,TRUE
paracentral,precentral,2,FALSE,FALSE
superiorfrontal,precentral,2,FALSE,FALSE
inferiorparietal,superiorfrontal,2,FALSE,FALSE
postcentral,superiorfrontal,2,FALSE,FALSE
postcentral,supramarginal,2,FALSE,FALSE
postcentral,supramarginal,2,TRUE,TRUE
precentral,supramarginal,2,TRUE,FALSE
entorhinal,bankssts,1,FALSE,FALSE
fusiform,bankssts,1,FALSE,FALSE
inferiortemporal,bankssts,1,TRUE,FALSE
middletemporal,bankssts,1,TRUE,TRUE
postcentral,bankssts,1,FALSE,FALSE
superiortemporal,bankssts,1,TRUE,TRUE
Amygdala,bankssts,1,FALSE,FALSE
paracentral,caudalanteriorcingulate,1,FALSE,FALSE
caudalanteriorcingulate,caudalmiddlefrontal,1,FALSE,FALSE
postcentral,caudalmiddlefrontal,1,FALSE,FALSE
postcentral,caudalmiddlefrontal,1,FALSE,FALSE
precentral,caudalmiddlefrontal,1,TRUE,FALSE
superiorfrontal,caudalmiddlefrontal,1,TRUE,TRUE
superiorfrontal,caudalmiddlefrontal,1,TRUE,FALSE
caudalanteriorcingulate,frontalpole,1,FALSE,FALSE
superiorfrontal,frontalpole,1,FALSE,FALSE
superiorfrontal,frontalpole,1,FALSE,FALSE
fusiform,middletemporal,1,FALSE,FALSE
inferiortemporal,middletemporal,1,TRUE,FALSE
middletemporal,middletemporal,1,TRUE,TRUE
postcentral,middletemporal,1,FALSE,FALSE
superiortemporal,middletemporal,1,TRUE,TRUE
Amygdala,middletemporal,1,FALSE,FALSE
Hippocampus,middletemporal,1,FALSE,FALSE
caudalanteriorcingulate,parsopercularis,1,FALSE,FALSE
superiorfrontal,parsopercularis,1,FALSE,FALSE
superiorfrontal,parsopercularis,1,TRUE,FALSE
inferiorparietal,postcentral,1,TRUE,FALSE
parsopercularis,postcentral,1,FALSE,FALSE
parstriangularis,postcentral,1,FALSE,FALSE
postcentral,postcentral,1,TRUE,TRUE
postcentral,postcentral,1,FALSE,FALSE
precentral,postcentral,1,TRUE,TRUE
precentral,postcentral,1,FALSE,FALSE
rostralmiddlefrontal,postcentral,1,FALSE,FALSE
superiorfrontal,postcentral,1,FALSE,FALSE
superiorparietal,postcentral,1,FALSE,FALSE
superiortemporal,postcentral,1,FALSE,FALSE
caudalanteriorcingulate,postcentral,1,FALSE,FALSE
caudalmiddlefrontal,postcentral,1,FALSE,FALSE
parsopercularis,postcentral,1,FALSE,FALSE
parstriangularis,postcentral,1,FALSE,FALSE
postcentral,postcentral,1,TRUE,TRUE
precentral,postcentral,1,FALSE,FALSE
precentral,postcentral,1,TRUE,TRUE
precentral,postcentral,1,TRUE,FALSE
rostralmiddlefrontal,postcentral,1,FALSE,FALSE
superiorfrontal,postcentral,1,FALSE,FALSE
superiortemporal,postcentral,1,FALSE,FALSE
supramarginal,postcentral,1,TRUE,TRUE
caudalanteriorcingulate,postcentral,1,FALSE,FALSE
precentral,postcentral,1,FALSE,FALSE
precentral,postcentral,1,TRUE,TRUE
superiorfrontal,postcentral,1,FALSE,FALSE
superiorfrontal,postcentral,1,FALSE,FALSE
caudalanteriorcingulate,precentral,1,FALSE,FALSE
inferiorparietal,precentral,1,FALSE,FALSE
